course_id,course_name,description_clean,keywords,industry,level
93827,Fundraising & Institutional Giving,"Building on the fundamentals introduced in External Relations: Fundraising and Philanthropy (93-826) this course will provide an introduction to corporate, foundation, and government fundraising programs. We will examine how institutional giving compliments individual giving in a development office. Foregrounding institutional giving as a series of mutually beneficial partnerships, we will explore the areas of work required to grow thriving institutional giving programs: relationship-building, organizational and workflow planning, program and prospect research, data collection, evaluation, writing, budgeting, and clear messaging.","['fundraising', 'philanthropy', 'development office', 'program research']",business & management,advanced
93831,Law Fundamentals for Arts Managers,"Law Fundamentals for Arts Managers is an investigation of specific legal rights and responsibilities (contractual and otherwise) in the arts and entertainment industries, including visual and performing arts and emerging areas such as multimedia art. The foundation for all activities in the arts is the contract. Accordingly, you will study contract law that will provide a clearer understanding of the requirements that must be met before a valid contract comes into existence. Contract interpretation and enforcement will also be addressed. In addition to contract law, we will also discuss agency law, corporate, partnership and limited liability company law, personal and real property law, intellectual property law (copyrights, trademarks, trade secrets, rights of publicity, moral rights) and other laws specifically affecting the entertainment industries. Finally, typical performing arts contracts and contractual provisions will be reviewed and the concepts discussed in other parts of the class, as applied to those contracts, will be analyzed.","['law', 'arts', 'managers', 'contracts', 'entertainment', 'visual', 'multimedia', 'art', 'contractual']",public policy & social sciences,advanced
93841,EIM Professional Seminar II,Description coming soon...,"['eim', 'professional seminar']",other,advanced
93844,Live Music:  Touring and Revenue Streams,"Many music industry executives assert that while the top 5% of music artists can still make money selling records, the other 95% go on tour. The changes in the music industry have affected everything from how people listen to their favorite artists to the profit revenue streams for labels, promoters and artists. This course will examine the live music touring industry on various levels, from DIY, to mid-level road dogs, to arena giants. There will also be a focus on the personnel behind a successful tour including the management team, booking agents, promoters, publicists, venue owners, roadies, and technicians. We'll discuss life on the road from the artist's perspective and how each team member can best interact with and support the artist. Students will be able to understand the practical aspects of touring deals and the intricacies of a tour budget. Students will also work to identify and optimize touring monetization and identify best practices for promotion and merchandising, including the importance of sponsorship and branding. *Course material will reflect a pre-COVID-19 live music and touring world with discussions addressing the impact and implications of the pandemic.","['live music', 'revenue streams', 'music industry', 'management', 'promotion', 'sponsorship', 'tour budget']",business & management,advanced
93846,Cultural Policy & Advocacy in the US,"Arts and cultural leaders in the United States operate in complex environments with public policies at the local, state and national levels that influence operations and artistic creations. What are these policies? Who makes, implements, and enforces them? How are new policies developed and why? How can policies be changed? This course will provide students with the foundation to understand the context of cultural policy in the United States and how advocacy efforts can influence policy change. Students will have an opportunity to consider current arts policy issues as they examine a number of topics, including: a brief history of arts and cultural policy in the United States; the structure for federal, state, and local funding for arts and culture; matters of artistic freedom and censorship in the arts; the role of cultural policy in social justice, job creation, education, and placemaking; cultural equity and cultural diplomacy; innovative cultural policy funding mechanisms; and current efforts to measure cultural vitality. Students will understand, articulate, evaluate, and advocate for cultural policies to benefit all stakeholders.","['cultural policy', 'policy development', 'advocacy', 'arts freedom', 'social justice', 'cultural diplomacy', 'measurement', 'cultural vitality', 'stakeholder benefit']",arts & culture,advanced
93849,Arts Management Professional Seminar II,"Success requires active engagement and investment in your life and career. Empowering students with a holistic perspective of their lives and careers, this seminar-style course will incorporate training elements of professional and career development, leadership development, and life skills in order to foster optimal professional and personal growth for Master of Arts Management students. With the guidance of MAM academic and career advisers, MAM students will learn to create both their experience as graduate students as well as their trajectory into their careers and transition into their roles as alumni. Self-assessment, guest speakers, lectures, workshops, industry field trips, conferences, and cross-cohort peer experiences will provide the basis for an engaging and reflective course to cultivate thoughtful investment of this essential component of success.","['arts management', 'professional development', 'career development', 'leadership', 'life skills', 'graduate students', 'trajectory', 'transition']",arts & culture,advanced
93851,"Film Economics, Marketing & Distribution",This course will be provide an overview of the feature film industry from the filmmaking process to the distribution machine. Although it covers financing pre- production production and post-production it is not a technical production class for filmmakers. Rather it is a business class in how to manage feature film production as a studio executive or independent producer....,"['film industry', 'feature film production', 'film distribution', 'film economics', 'studio executive', 'independent producer', 'film pre-production', 'film post-production']",arts & culture,advanced
93854,Film Acquisition,Independent film is a term loosely used to mean many things. While the term is often times used to label a genre it is also a financing method. An independent film can cost $300 and be constructed on a home computer or it could cost $200 million with a studio paying a surplus on top of the budget to distribute it. The class will dive into both the genre and financing method and how this part of the business is one of the most important sectors that affects almost every piece of acting and filmmaking talent. The glamorous and not so glamorous world of film festivals are where studios scour for up-and-coming talent where actors go to gain credibility and where has-beens turn to resurrect careers. Building on the world of festivals we will look at how an independent movie gets financed packaged and sold to domestic and foreign distributors. This class will explore the various sources of the filmic product and follow it through distribution on both a studio and independent level....,"['independent film', 'film festivals', 'distribution', 'studio', 'independent movie', 'filmmaking talent', 'domestic']",arts & culture,advanced
93855,Intellectual Property,"The objective of this course is to provide students with a practical understanding of the underlying legal principles of intellectual property laws regulating the creation and exhibition of entertainment content. The class covers the basic legal concepts of intellectual property law, including case study, but is aimed at non-lawyers and non-law students.","['intellectual property', 'entertainment content', 'legal principles', 'case study', 'non-lawyers', 'non-law students']",public policy & social sciences,advanced
93856,Business Development,"Business development uses the lenses of strategy and commercialization to identify opportunities for expansion and growth. It relies heavily on its functional cousins - Sales, Marketing, Finance and Corporate Strategy. Each functional area will be explored within the various sectors of the entertainment industry through class discussions, assignments and a final project. In this class, we will focus on business development in music, media and entertainment.","['strategy', 'commercialization', 'expansion', 'growth', 'sales', 'marketing', 'finance', 'corporate strategy', 'entertainment', 'music']",business & management,advanced
93860,What Makes Us Play:  The Craft of the Video Game,"This course delves deep into the art of creating and shipping video games. We will take students on a journey from an examination of the fundamental principles of game design and the realities of shipping discrete gaming products into the dynamic online marketplace. From there, we'll dive into the broader, harder to define side of the industry - how social gaming manifests in today's market, and what it means to take a game across gaming platforms. Through lectures, discussion, and practical exercises, students will gain a comprehensive understanding of the craft of gaming. Students will be expected to approach the material with an open mind and spend some time exploring games hands-on outside of class.","['game design', 'online marketplace', 'cross-platform', 'practical exercises', 'hands-on exploration', 'open-minded approachsolution']",design & hci,advanced
93863,Arts Management Consulting,"Course meets: March 21 & March 28 10:00 - 2:30pm; On Campus. Building on the fundamentals students have learned across the other first-year Master of Arts Management coursework, this course will provide an introductory survey to the field of consulting for arts and cultural organizations. Students will explore the core differences between more general, for-profit business consulting and the more nuanced, inter-personal reality that the arts consultant must navigate. We will explore the areas of arts management that are most typically addressed by consulting work, as well as the more complex nature of arts management consulting, which often tackles more integrated challenges due to the limited capacity of many cultural organizations. Students will leave this seminar better prepared to assess whether any organization and consultant are a strong fit for partnership, what makes a strong arts consulting proposal, and how consulting fits into the larger arts management ecosystem.","['arts management', 'arts organizations', 'cultural organizations', 'arts management ecosystem', 'consulting partnership', 'arts consulting proposal', 'arts consulting challenges', 'arts consulting fundamentals']",arts & culture,advanced
93866,Creative Producing,Creative Producing: Visuals and Vision. This course focuses on the main interpreters of the script (producers directors and their teams) from the POV of an instructor who has worked primarily as a director and writer with a strong producorial hand. Topics will include choice of material and early creative discussions with an emphasis on visual language story character and the various components used to bring an idea from page to screen. Also examined will be the producer and director's function as it relates to other key positions within the entertainment industry. Classroom participation is mandatory in this course (presenting projects defending them and critiquing others)....,"['visual language', 'story character', 'screen transition', 'classroom participation', 'entertainment industry', 'script interpretation', 'early creative discussions', 'producer-director relationship']",design & hci,advanced
93870,Introduction to Writing for Television,"Television has become a constant in our lives. The variety of unique voices has produced some of the best storytelling in decades. Some critics have stated that television is going through a renewed golden age. The explosion of U.S. scripted content has increased the appetite for original stories both domestically and internationally. In addition, the expansion of streaming services such as Netflix and Amazon have further expanded the global content market. As U.S. networks and distributors seek content, more opportunities for new voices and new points of view are welcomed. This introductory class will focus on the fundamentals of writing for television with an emphasis on pitching and writing a television pilot. In addition to covering style and format, emphasis will be given to story ideas, outlines, structure, and marketability.","['television', 'golden age', 'us scripted content', 'streaming services', 'netflix', 'amazon', 'television pilot']",public policy & social sciences,advanced
93872,Music Supervision,"The course defines the role of the music supervisor, who draws on combined resources of the film and music communities to marry music and moving images. The course is intended to lead students to a better understanding and appreciation of the use of music in the filmmaking process. Lectures, assignments, presentations and discussions with guest speakers present the principles and procedures of music supervision.","['music supervision', 'film', 'music', 'principles', 'procedures', 'lectures', 'guest speakers', 'filmmaking process']",arts & culture,advanced
93873,Film Exhibition,"This course will focus on understanding how the Film Exhibition Industry is key to conceptualize, create and launch content. The economic rationale is the driver behind the films, which maintain industry profitability and hence-forth guarantee the sustainability of the sector over time. At the end of the course, students will be able to understand and identify the critical factors in the success of film exhibition management in order to make the best decisions based on the economic rationale. In addition, the course will allow students to contribute value to any of the three perspectives of the film industry ́s value chain: production, distribution or exhibition.","['film exhibition', 'industry', 'conceptualize', 'create', 'launch', 'content', 'economic rationale', 'profitability', 'sustainability', 'film industry']",arts & culture,advanced
93878,Branded Entertainment,"Price is not the only measure of value for consumers. Perceived value is derived from a combination of characteristics including quality, reliability, positive or negative associations, and memorability, to name a few. These are not only factors that impact a consumer¿s purchase decision, but also qualities that make up a brand. Strong brands, then, build equity and real financial value for companies. Building and maintaining a brand is a philosophical and tactical undertaking. In this course, students will build a foundational understanding of branding through class discussions, articles and case studies. Students will examine the difference between brand and marketing/communications as well as the importance of brand as business and it¿s application to global branding. They will also examine how a company finds and communicates value proposition relative to their competitors, users and communities at large. Students will consider the impacts of brand valuation as well as the spectrum of branded content. Class participants will look at how branded content is evolving with new technology and communications methods. Students will then be able to apply this groundwork to various marketing and communications tactics globally and across all media platforms, both traditional and modern.","['brand equity', 'brand value', 'branding strategy', 'brand communication', 'brand value proposition', 'brand evolution', 'branded content', 'brand perception']",business & management,advanced
93880,Production Finance,"Accounting is a foundation to many businesses' enterprises and in the realm of film or TV, the Production Accountant is pivotal in overseeing and reporting on all production-related finances. This course offers a comprehensive introduction to the key accounting concepts and financial reporting techniques, specifically tailored to the entertainment industry. Central to the curriculum is the application of ethical decision-making in financial matters by both the accountant and the studio's production finance executive. To ensure relevance and clarity, we'll use real-world entertainment accounting scenarios as examples. Key areas of exploration include the roles and responsibilities within the production office, distinct phases of production, budgeting, payroll management, cost forecasting, and a day in the life of a production accountant and finance executive.","['entertainment industry', 'production accountant', 'payroll management', 'production office']",arts & culture,advanced
93888,Practicum II,Practicum II,"['practical', 'application', 'hands-on', 'secondary']",other,advanced
93890,Capstone Management Project II,"The Capstone Project is a two-semester applied research project that represents the final requirement of the Master of Entertainment Industry Management (MEIM) Program. The Capstone provides the opportunity for students to apply the sum knowledge and skills gained from the MEIM program to real world issues facing the entertainment industry. Working in teams, and in consultation with industry professionals, students will define, outline and deliver an in-depth examination of a specific research topic, fulfilling a series of deliverables over the course of the project, and adhering to established research project formats and guidelines.","['capstone project', 'entertainment industry', 'research', 'teamwork', 'industry professionals', 'deliverables', 'research project', 'guidelines', 'applied knowledge']",business & management,advanced
48026,Second Year Seminar: Architecture Edition II,"The second-year seminar (part 2) introduces students to opportunities at Carnegie Mellon University and beyond. The goal of this course is to encourage students to pursue their interests inside and outside of the School of Architecture by introducing a range of opportunities, including study abroad experiences, internships, academic minors/additional majors, and research opportunities. Additional topical areas to be covered in the seminar will include an evaluation of the previous semester, scholarship/academic funding opportunities, ethical decision making, design resume writing/branding, and engaging with the Career and Professional Development Center.","['carnegie mellon university', 'architecture', 'study abroad', 'internships', 'academic minors', 'research opportunities', 'design resume']",architecture,intro
48051,Study Abroad,nan,"['abroad', 'nan']",architecture,intro
48105,Architecture Design Studio: Poiesis Studio 2,"The Poiesis II design studio family nurtures a way of making and thinking in design that aims to cultivate the practice of architecture as an act of creative citizenship. Cultivating an approach to appraise cross-cultural study of how people perceive and manipulate their environments can help us understand architecture from different and diverse perspectives. Together, we will become detectives to interrogate the contemporary and historical tissue of Pittsburgh through occupations and working lives at the scale of a neighborhood. These stories elevate ordinary folks and trades that continue to foster how our city functions and create spaces of belonging. We will appraise and use architectural tools as a base of inquiry to speculate and allow us to transform the way we view our world - with empathy for ourselves and those around us. The structure of the studio will follow three projects that explore narrative modalities by using precedent analysis, site analysis, archival research, spatial compositions, and tectonic exploration. We will explore these techniques to produce a hybrid multi-generational house focused on acts of care in Pittsburgh. Designers in the sequence will be introduced to critical proficiencies, learn new techniques of representation, and adapt rigorous fabrication skills in the production of a project that is rooted to its context. We will learn tools including rigorous hand-craft modeling, Rhino, Adobe Creative Cloud, and preliminary skills in GIS. These practices in documentation, design and storytelling will help us spatialize the way our city situates itself, its ecological relationship and social scenes in an accessible way for diverse audiences. This studio advocates for knowledge built around relationships, interdependence, lived embodiments, and responsibilities.","['architecture', 'design', 'pittsburgh', 'empathy', 'cross-cultural', 'neighborhood', 'hybrid house', 'care', 'tectonic', 'precedent']",architecture,intro
48111,Exploring Pittsburgh,"The city of Pittsburgh is at once our (permanent or temporary) home and the site of many of our studio projects. In this class the students will start exploring Pittsburgh: as built environment in which their work might be situated, as cultural context they need to interpret, and as creative material for their own work. The class is designed to give the students a deeper understanding of the relevance of the historical context on the physical changes they observe in the urban fabric, starting from their studio site and neighborhood. By learning about key moments in Pittsburgh's urban history, critically engaging with evidence (from maps to archival material to everyday objects) and participating in occasional site and museum visits, the students will learn to read cities as complex and layered, shaped by invisible forces as much as by visible ones.","['pittsburgh', 'urban environment', 'studio projects', 'cultural context', 'historical context', 'physical changes', 'urban fabric', 'evidence', 'site visits']",architecture,intro
48112,Digital Fabrication Skills,"""The formal qualities explored by designers today necessitates the use of sophisticated tools with a combination of flexibility and precision. This course serves as an introduction to the type of equipment and methodologies utilized in architectural fabrication. Students will develop a basic understanding of the field to leverage these processes to explore and represent the complex nature of their designs. Through lectures and lab sessions, students will learn the affordances of the machines available in the DFAB Lab (Digital Fabrication Lab), how to prepare 3D CAD models in Rhino 3D for digital fabrication, and basic CAM (Computer Aided Manufacturing) programming. A series of projects, each highlighting an individual machine, will reinforce this technical knowledge while requiring students to rationalize their designs so their physical manifestations are informed by the techniques introduced.""","['digital fabrication', 'architectural fabrication', 'cad models', 'dfab lab', 'machine affordances', 'design rationalization', 'technical knowledge', 'fabrication processes', 'design representation instruction']",architecture,intro
48125,Digital Media II,"IDM2 is a required course for all first year architecture students. This course is the continuation of IDM. IDM2 introduces students to measured drafting and the process of creating a construction drawing set. The coursework is directly coordinated with Studio assignments providing the students with the opportunity to master their digital skills in a meaningful manner. Due to the amount of content covered there is no single text for this course, but the course is supported by materials created by the instructor. IDM2 addresses topics such as digital drafting, construction drawings, advanced 3D modeling and HTML programming.","['digital media ii', 'first year architecture', 'construction drawings', 'digital skills', 'studio assignments', 'instructor-created materialsextract']",architecture,intro
48126,Drawing II,"Drawing and Appearance? is a traditional course in free-hand architectural drawing. Its central learning objective is building a capacity for visualizing three-dimensional space through the making of hand-made drawings. Two secondary objectives foster visual literacy: the ability to use line, tonal values and color to represent architectural space and the ability to use drawing to represent architectural proposals at various levels of abstraction Coursework includes free-hand and constructed perspective, shade and shadow projection, chiarroscurro drawing in colored pencil and color drawing in pastel. Work is submitted in three portfolio submissions of two weeks duration each. Coursework is built around exercises in the required course text: Drawing and Perceiving, John Wiley and Sons.","['drawing ii', 'three-dimensional', 'free-hand', 'perspective', 'shade', 'shadow', 'chiarroscurro', 'pastel']",architecture,intro
48205,Architecture Options Studios,"The second year option studios offer varied design strategies through material, computational, chronopolitical, cultural and ecological lenses.","['design strategies', 'material', 'computational', 'chronopolitical', 'cultural']",architecture,intro
48240,"History of World Architecture, I","This survey cuts a broad swath through time, geography and cultures, surveying critical episodes in the built environment of Europe, the Middle East, Asia, Africa, and the Americas from ancient times through the nineteenth century. Reflecting the inseparable relation between building and human needs, this course is not only a history of architecture, but also a history through architecture. Over the semester, we will examine architecture as a form of cultural expression unique to its time and place. Through readings and lectures, we will study the ways that the design, use, meaning, and legacy of a building and its site was conditioned not only by the architect's will or the patron's desire, but also by a web of technological, religious, social, cultural, economic, and political factors of the time. There will be several exams over the course of the semester including during finals week.","['solutionworld architecture history', 'survey', 'europe', 'middle east', 'asia', 'africa', 'americas', 'nineteenth century', 'cultural expression', 'architectural design']",architecture,intro
48241,Modern Architecture: History & Theory,"This course investigates the history of a wide range of buildings, architecture, cities, landscapes and theory across the 20th century around the world. The content is organized around 5 major themes: decolonization, climate change, technology, social justice and theory. We explore major movements and monuments of the Euro-American avant-garde and so-called ""heroes"" of modernism, but also diverse responses to modernity, including popular, tropical, vernacular, indigenous, and even anti-architecture around the world. We ask critical questions about the modern canon, the changing nature of history and theory, the biases embedded in terms like ""modernism,"" ""progress,"" ""Non-Western,"" and even ""architecture."" We interrogate the deep legacies of colonialism, globalization, extractivism, and capitalism in which modern architecture so actively participated. The work includes weekly critical reflections on the readings and lectures, as well as a semester-long research project investigating ""Non-Canonical"" buildings from the Global South from three distinct eras in the 20th-century.","['decolonization', 'climate change', 'technology', 'social justice', 'theory', 'euro-american avant-garde', 'modernism', 'popular architecture', 'tropical architecture', 'vernacular architecture']",architecture,intro
48247,Fundamentals of Computational Design,"As analog mechanisms; as metaphors; as bodily extensions or prosthetics; as material systems; as building envelopes; as partners or slaves? of humans. This course takes computers outside the box and outs a journey of discovery revealing computation as the connective tissue encompassing multiple facets of architectural practice and experience. Addressing conceptual and practical aspects of the relationship between computation and design, the course explores the fundamentals of generative and rule-based systems for designing and making, simulation, and responsiveness, along with basic approaches to creative data processing, representation, and realization. The course offers a holistic view of computation, exploring the different roles computing plays in the design of our built environment. Organized in two-week modules, the course explores six themes, each combining historical insight, architectural examples, and hands-on design exploration.","['computational design', 'architectural practice', 'generative systems', 'rule-based systems', 'design simulation', 'realization', 'holistic view', 'computational roles', 'built environment']",architecture,intro
48259,"Cities, Technologies, and Infrastructure",TBA,"['cities', 'technologies', 'infrastructure', 'tba']",architecture,intro
48305,Architecture Design Studio: Praxis Studio II,"This studio introduces integrated architectural design as the synthesis of disparate elements, demands and desires. It situates architecture as a technological, cultural and environmental process that is inherently contingent and entangled yet tethered to a historical project of autonomy. It is within the contested space between these two notions of architecture that the studio operates. The studio sets out alternatives to extractive practices and introduces students to bio-based material practices and computationally facilitated methods of manufacturing and construction. While the studio directs attention to concerns of building, such as context, building systems, program and regulatory constraints, it challenges students to situate design as a project that engages contemporary discourse and ecological imperatives to explore emerging aesthetics, spatial organizations and materializations.","['architectural design', 'integrated design', 'contingent architecture', 'autonomy', 'bio-based materials', 'computational construction', 'building systems', 'contextual design', 'regulatory constraints']",architecture,intermediate
48309,"Heritage, Computation, and the Digital","UNESCO defines heritage as practices and sites of symbolic, historic, artistic, aesthetic, anthropological, scientific and social significance. This course explores conceptual, technical, and practical questions of heritage and technology through theory, concepts, and critical making. Students will read key texts and engage with questions of how heritage - both tangible and intangible - is and can be repaired, remediated, and reimagined critically through computation. Combining theory and practice, the course situates technology as a cultural and political actor. Through readings, discussions, design provocations, and projects, students will study critical theories of heritage; reflect on issues of power, authority, and access; analyze case studies; experiment with computational tools as sites of inquiry; and develop a final project where heritage and emerging technologies intersect. The course is open to graduate and advanced undergraduate students of ALL majors.","['heritage', 'computation', 'digital', 'technology', 'cultural', 'political', 'authority', 'access', 'case studies']",architecture,intermediate
48314,New Pedagogies: A planet in the scale of pellet in the stomach of a shiner in the dream of gull,New Pedagogies are courses offered by new and visiting faculty (sections A-E). Please visit https://soa.cmu.edu/courses for complete course descriptions.,"['new pedagogies', 'courses', 'faculty']",architecture,intermediate
48318,Discourse and Praxis in the Climate Emergency,"This course engages with emergent modes of architectural thinking and praxis in the climate emergency. If buildings consume vast resources and are embedded in extractive systems of material and labor, how can discourse be deployed to consider other forms of praxis?","['climate emergency', 'resource consumption', 'extractive systems', 'discourse', 'praxis', 'sustainable design', 'critical reflection', 'environmental ethics']",architecture,intermediate
48324,Structural Design 2: Materials and Analysis,"This course introduces fundamental concepts of static equilibrium and stability of structures. In contrast to conventional methods of learning structures that are based on numerical calculation and analysis of stresses in materials, this course explores a new geometric approach to understanding the relationship between form and forces of structures through graphic statics, a graphical method of visualizing, designing and analyzing equilibrium. By using geometry as the common language between architecture and structure, the students will explore new ways of shaping structural form by drawing and manipulating the geometry of forces. Through a series of lab exercises, the students will learn how to construct form and force diagrams used in graphic statics, and learn how the behavior of basic structural systems can be understood through such representations. The lab exercises are complemented by group design projects, where the students have the opportunity to apply the concepts and principles learned in the lab to design and build physical structural models that will be loaded to failure. No prior knowledge is required for this course. Structural Design 1 is the first of three courses of the Structural Design curriculum offered at Carnegie Mellon Architecture.","['graphic statics', 'structural form', 'static equilibrium', 'structural stability', 'geometric approach', 'force diagrams', 'structural systems', 'design projects', 'structural models']",architecture,intermediate
48328,Detailing Architecture,"""This course examines the role of the architectural detail in the formation/ thematic development of a work of architecture and how the detail reinforces the theoretical position of the architect.","['architecture', 'formation', 'thematic development', 'theoretical position', 'architectural detail', 'work', 'reinforcement', 'examination']",architecture,intermediate
48355,Perspective,"This freehand drawing course considers perspective from three understandings of perceptual psychology. Part 1, built on the pedagogy of Kimon Nicolaides, aligns with the Transactionalist understanding of perception. It considers perspective as discovered truth. Part 2 builds on the early work of perceptual psychologist, J.J. Gibson, and aligns with the Ecological position of Gibson and his followers. It considers perspective as an absolute truth of the visual field. Part 3, aligning implicitly with Gestalt psychology, treats perspective as an imposed schema. The course concludes with a final project built around the student's interest. This semester we will do frequent applications of perspective to on-going student design projects. Prerequisite: 62-126 or 48-126 or permission of the instructor","['perspective', 'perceptual psychology', 'kimon nicolaides', 'transactionalist', 'jj gibson', 'ecological', 'gestalt psychology', 'visual field', 'student design projects']",architecture,intermediate
